input_text	target_text
boring	보링
Monona	모노나
St. Louis	세인트루이스
data algorithms	데이터 알고리즘
gray scale	그레이스케일
Wauseon	오선
Crisp County	크리스프 카운티
lama	라마
Trout	트라우트
Voltaire	볼테르
Ross	로스
Fannin	패닌
Walkersville	워커즈빌
Pontotoc County	폰토톡 카운티
Katharine Meyer	캐서린 마이어
story	스토리
Whiteash	화이트애시
Melrose	멜로즈
main	메인
component	컴포넌트
Yuma	유마
carnosine	카르노신
photo	포토
Griffin	그리핀
dammar	다마르
Comal	코몰
Mammoth Lakes	맴모스 레이크스
El Centro	엘센트로
Rockville	록빌
cyberculture	사이버컬처
hammer	해머
Letcher	레처
Philippi	필리피
Kalgary	캘거리
Winterville	윈터빌
Douglas	더글러스
Barthes	바르트
Rosemount	로즈마운트
Future City	퓨처 시티
system software	시스템소프트웨어
Euless	율리스
Cutler	커틀러
Kent	켄트
Heath	히스
Lightfoot	라이트풋
Black Diamond	블랙 다이아먼드
safrole	사프롤
Piccinni	피친니
Sadieville	새디빌
De Young	더영
Chantal	섄탈
steam	스팀
photofabrication	포토패브리케이션
Brown Mountain	브라운 마운틴
McComb	매콤
Kent	켄트
Chelsea	첼시
Francis	프랜시스
living cost	리빙코스트
Stewart County	스튜어트 카운티
pulp	펄프
Kingsley	킹슬리
Lowder	로더
kauri copal	카우리코펄
Rio Rancho	리오 랜초
Shawn	숀
alto clarinet	알토클라리넷
earth	어스
Grenola	그레놀라
turbine pump	터빈펌프
South Beaver Dam	사우스 비버 댐
Miami Heat	마이애미 히트
Marshall	마셜
Francis	프랜시스
Shafer	섀퍼
Del Rey Oaks	델레이오크스
angina	앙기나
arc light	아크 라이트
Selim	셀림
attachment lens	어태치먼트렌즈
Kansas	캔자스
Mizar	미자르
Lake Placid	레이크플래시드
Gavin	개빈
technic	테크닉
Elma	엘마
riser card	라이저 카드
Mercer County	머서 카운티
Heather	헤더
temple	템플
DASD	다스드
Hale	헤일
lock	록
Chesterton	체스터턴
Karen	캐런
Floyd	플로이드
Honolulu	호놀룰루
Lake Michigan Beach	레이크 미시건 비치
chipset	칩셋
particle board	파티클보드
Princess	프린세스
orbiter	오비터
Eustis	유스티스
Farmingdale	파밍데일
Herald	헤럴드
Hinckley	힝클리
Owen	오언
Fitzgerald	피츠제랄드
self tontrol	셀프콘트롤
Crystl	크리스틀
Heraclius	헤라클리우스
club house	클럽 하우스
Gates	게이츠
donkey pump	동키펌프
platina	플래티나
Kingston	킹스턴
Moscow	모스크바
David	데이비드
Amnon Lipkin-Shahak	암논 립킨샤하크
CNN	시엔엔
scarf	스카프
Monkeys Eyebrow	멍키스 아이브로우
Geraldine	제럴딘
Daniel	대니얼
digital banking	디지털 뱅킹
Pleasanton	플레젠튼
Adonis	아도니스
Porat	포랫
cascade shower	캐스케이드샤워
Douala	두알라
Narka	나르카
Leagueville	리그빌
Rockville	록빌
Castle Rock	캐슬 록
Bell	벨
Giordano	조르다노
Tim	팀
Turlock	털록
automata	오토마타
smart wear	스마트웨어
rimland	림랜드
Beatty	비티
touch screen	터치스크린
Rocky Mount	록키 마운트
North Redington Beach	노스레딩턴비치
Washington	워싱턴
Peru	퍼루
Erin	에린
Meador	미도르
Conant	코넌트
Cranbrook	크랜브룩
Ian	이언
balcony	발코니
Faribault	페리보우
Anna	애나
Hillary	힐러리
Black theater	블랙시어터
shockwave	쇼크웨이브
Santa Clara County	산타클라라 카운티
Abu Ali	아부 알리
St. Louis Cardinals	세인트루이스 카디널스
Maisto	메이스토
Sunset Valley	선셋밸리
Middletown	미들타운
Vidor	비더
Grants Pass	그랜츠 패스
Graz	그라츠
Laura	로라
oven	오븐
Pyletown	파일타운
Buchanan	뷰캐넌
coating	코팅
Cleveland	클리블랜드
Dodgeville	도지빌
Dania Beach	데니아 비치
worm wheel	웜휠
milk shake	밀크셰이크
Newnan	뉴넌
Lynd	린드
Sarah	세라
Caspar	캐스파
bass clarinet	베이스클라리넷
ground	그라운드
Becker County	베커 카운티
Yarmouth	야머스
irradiation	이레이디에이션
Poughkeepsie	포킵시
David Blunkett	데이비드 블렁킷
Centerville	센터빌
Kenedy	케네디
shopping	쇼핑
Addington	애딩턴
Burke County	버크 카운티
Potlatch	포틀래치
vector potential	벡터퍼텐셜
Golden Valley	골든 밸리
Leeman	리먼
Sugar Bush	슈거 부시
diphtheria toxoid	디프테리아톡소이드
Love Valley	러브 밸리
DMZ	디엠지
Jade North	제이드 노스
Meansville	민즈빌
trunks	트렁크스
Iowa	아이오와
Calicut	캘리컷
Mount Carmel	마운트카멀
Guam	괌
Fort Duchesne	포트듀셰인
Otaria	오타리아
tunic	튜닉
Clifton	클리프턴
Los Angeles Kings	로스앤젤레스 킹스
Mercer Island	머서 아일랜드
Toronto Blue Jays	토론토 블루 제이스
Cobb	코브
Jersey	저지
Dundy	던디
Fola	폴라
Parkersburg	파커즈버그
Brownsville	브라운스빌
Beech Springs	비치스프링스
Red Hill	레드 힐
Denzel	덴절
cephalexin	세팔렉신
Doon	둔
Wilbur	윌버
Caress	카리스
butazolidin	부타졸리딘
Marrowbone	매로우본
wise	와이즈
Cave-In-Rock	케이브인록
lanthanide	란타니드
lip lacquer	립 래커
Missouri	미주리
Union Springs	유니언 스프링스
New Albany	뉴 올버니
down-swing	다운스윙
Shelley	셸리
Iocaste	이오카스테
mustang	무스탕
tombac	톰백
Daisy	데이지
Port Huron	포트 허런
Jammes	잠
Sawyers	소여스
optical art	옵티컬아트
autogyro	오토자이로
SHF	에스에이치에프
Lohan	로언
Harahan	해러핸
Longmont	롱몬트
Mokena	모키나
Grainger	그레인저
Scarsdale	스카스데일
onyx	오닉스
Choctaw County	촉토 카운티
Sterling	스털링
School Hill	스쿨 힐
jump shot	점프샷
Oneida County	오나이더 카운티
ITT	아이티티
tandem race	탠덤레이스
top gun	탑건
Lynch	린치
Laketown	레이크타운
IOC	아이오시
Springville	스프링빌
Bridlington	브리들링턴
Nephi	니파이
narration	내레이션
Lindsay	린지
Langer	랭어
Quinn	퀸
aldol	알돌
Jeanne	진
Robert	로버트
White Lake	화이트 레이크
PO	피오
Raymore	레이모어
moment	모멘트
Hsieh	셰이
Corrigan	코리건
Uintah County	윈타 카운티
Westmoreland County	웨스트모얼랜드 카운티
Tony	토니
sway	스웨이
Chestertown	체스터타운
Johnston County	존스턴 카운티
Kagoshima	가고시마
Mineral Wells	미네랄 웰스
Pritchett	프리쳇
Howard Walter	하워드 월터
Couric	커릭
shamanism	샤머니즘
cabtyre cable	캡타이어케이블
Newman	뉴먼
pomato	포마토
McKenzie	메켄지
Walker	워커
Symonds	사이먼즈
radio drama	라디오드라마
Volcker	볼커
seigniorage	시뇨리지
Google dance	구글댄스
Terminal City	터미널 시티
melody	멜로디
Hannah	한나
shoulder blocking	숄더블로킹
Kinsman	킨스먼
Bell County	벨 카운티
Hiko	히코
Oakfield	오크필드
Sparta	스파르타
Charles Rennie	찰스 레니
Flaghole	플래그홀
Daviess County	데이비스 카운티
Zavala	저발라
swaying	스웨잉
stadium	스타디움
Herkimer County	헤르키머 카운티
Audrey	오드리
idea man	아이디어맨
Excel	엑셀
designer	디자이너
New South Wales	뉴사우스웨일스
prompter	프롬프터
Great Falls	그레이트 폴스
North Muskegon	노스 머스키건
Scarborough	스카버러
radium emanation	라듐에머네이션
Payne Springs	페인스프링스
Delaware	델라웨어
carbon	카본
mineral terebin	미네랄테레빈
Worcester County	우스터 카운티
Ashland	애슐랜드
Maple Heights	메이플 하이츠
Industry	인더스트리
Elbert	엘버트
Huger	휴거
Jay	제이
Rives	라이브스
Traverse	트래블스
Joy	조이
Edmonton Oilers	에드먼턴 오일러스
skating	스케이팅
Deverre	드베르
motor	모터
Oneida County	오나이더 카운티
Mariana	마리아나
Blenheim	블레넘
Mountain	마운틴
Signal Mountain	시그널마운틴
Pound	파운드
Dodge	도지
Oriental Bay	오리엔탈 베이
Herculaneum	허큘라니엄
samba	삼바
Filmer	필머
South Georgia	사우스조지아
Colman	콜먼
Denny	데니
Disabler	디스에이블러
Damien de Veuster	다미앵
Liberty County	리버티 카운티
San Saba County	샌 사바 카운티
sky	스카이
Daewoo	대우
Spirit	스피리트
Timpson	팀프슨
Curry	커리
Buffalo Prairie	버팔로 프레리
cornice	코니스
UN observer	유엔 옵서버
kulan	쿨란
Lake Forest	레이크포리스트
Menlo Park Terrace	멘로 파크 테라스
ballad opera	발라드오페라
Antilles	앤틸리스
silicon vally	실리콘밸리
Murphy	머피
Caledonia	칼레도니아
Levy	레비
Vientiane	비엔티엔
Vonn	본
Glenmore	글렌모어
Wieser	비저
Lin-Manuel	린마누엘
Domitianus	도미티아누스
Jonesboro	존즈버러
Bradshaw	브래드쇼
Hector	엑토르
Hampshire	햄프셔
Covington	커빙턴
Edinburgh	에든버러
communism	코뮤니즘
tip	팁
Amazon	아마존
Accident	액시던트
Faust	파우스트
Vilas	빌라스
Thackeray	새커리
Forest City	포레스트 시티
Khubilai	쿠빌라이
Caineville	케인빌
Garner	가너
painting knife	페인팅나이프
Boles	볼스
baseball	베이스볼
WINNIE	위니
Cooter	쿠터
nitrotoluene	니트로톨루엔
Donaldson	도널드슨
Santorum	샌토럼
bass trombone	베이스트롬본
Pinewood	파인우드
Constanta	콘스탄짜
Stockholm	스톡홀름
ground homerun	그라운드홈런
Gulf City	걸프 시티
video art	비디오아트
clarionet	클라리오넷
Brookings County	브루킹스 카운티
Claes	클라스
Green Mark	그린마크
Towaco	토와코
Karnes City	칸스시티
Lenox	레녹스
Shimon Peres	시몬 페레스
original interlock	오리지널인터로크
Carnegie Hall	카네기홀
mail credit	메일크레디트
Morley	몰리
Joseph	조지프
Lawrenceburg	로렌스버그
Medford	메드퍼드
Brazeau	브라조
amikacin	아미카신
College Place	칼리지 플레이스
New York	뉴욕
Chilton County	칠턴 카운티
Burlington	벌링턴
Root	루트
Roy	로이
Johnson	존슨
Paul	폴
Gonzales	곤잘러스
Muncie	먼시
Bay City	베이시티
Alabama	앨라배마
Wayne County	웨인 카운티
Gordo	고르도
Steinheil	슈타인하일
Page County	페이지 카운티
mince beef	민스비프
Kiernan	키어넌
Baumgarten	바움가르텐
Cronos	크로노스
Walla Walla	왈라 왈라
model house	모델하우스
Ft Lauderdale	포트 로더데일
Yaounde	야운데
action	액션
Middletown	미들타운
cyclopan	시클로판
CLARK	클락
magazine	매거진
Central Division	중부 지구
mirror	미러
Bishkek	비슈켓
Sufi	수피
Blackwater	블랙워터
Langtry	랭트리
Burien	벼리언
line switch	라인스위치
Addison	애디슨
Moreland	모얼랜드
Midway	미드웨이
Bluefield	블루필드
Jackson Hill	잭슨 힐
Forney	포니
Barber	바버
carpet	카펫
German	저먼
chase pilot	체이스파일럿
Cunningham	커닝엄
Nexus	넥서스
flying start	플라잉 스타트
Ravalli	러밸리
Summerfield	서머필드
Paul Gustave	폴 귀스타브
batten	배튼
Lincoln County	링컨 카운티
herb tea	허브티
Nantwich	낸트위치
Ignacio	이그나시오
Rocky Ford	로키포드
Laurel Fork	로럴포크
Westville	웨스트빌
Robinson	로빈슨
Montrose County	몬트로즈 카운티
program library	프로그램라이브러리
Caney	캐니
roller bearing	롤러베어링
Washington-on-the-Brazos	워싱턴-온-더-브라조스
panning	패닝
Aurora	오로라
papaya	파파야
Stephenie	스테퍼니
Perry	페리
on	온
Blaine	블레인
Zobrist	조브리스트
Fertile	퍼틀
Fizeau	피조
Caillois	카유아
Selma	셀마
verbena	버베나
honeymoon	허니문
Josephine	조셉핀
Bendigo	벤디고
Drexel	드렉셀
Mason City	메이슨시티
oxime	옥심
change of pace	체인지 오브 페이스
Watson	왓슨
lymph	림프
Eggleston	에글스턴
Pin Hook	핀 훅
scanbot	스캔봇
Oconee County	오코니 카운티
lignin	리그닌
Wagner	와그너
Hatley	헤이틀리
Bethel	베델
Rainsville	레인스빌
Squire	스콰이어
Hertz	허츠
Pegasus	페가수스
Haig	헤이그
Hanmir	한미르
Wall	월
Hometown	홈타운
Nematoda	네마토다
Rescue	레스큐
Casper Willard	캐스퍼 윌러드
Petone	페토니
Novial	노비알
Boston	보스턴
Overbrook	오버브룩
goal kick	골킥
serve	서브
tritium	트리튬
Cooper	쿠퍼
Chesapeake	체서피크
Bonita	보니타
gear chamfering machine	기어챔퍼링머신
Brecksville	브렉스빌
Gaspard	가스파르
chlorpromazine	클로르프로마진
ether	에테르
Marcus	마커스
pointer	포인터
Montello	몬텔로
Petrarca	페트라르카
Beverly Hills	비벌리힐스
Schwann	슈반
Preble County	프레블 카운티
Holman	홀먼
Dauphin County	도핀 카운티
Amara	어마라
William	윌리엄
Mike Johanns	마이크 조핸스
AIS	에이아이에스
Downey	다우니
Atalanta	아탈란타
rhodohypoxis	로도히폭시스
smoke ball	스모크볼
press camera	프레스카메라
Michelangelo Merisi	미켈란젤로 메리시
right inner	라이트이너
Bouchard	부샤르
Bacharach	배커랙
Williams	윌리엄스
Donovan	도너번
Richard Parkes	리처드 파크스
Duchamp	뒤샹
Dead Sea	사해
Mitscherlich	미처리히
Woonsocket	운소컷
Granville	그랜빌
Koch	코크
Shirley	셜리
contents	콘텐츠
Lewistown	루이스타운
Edmonson	에드먼슨
Kolberg	콜버그
Bucklin	버클린
Fife	파이프
James Purnell	제임스 퍼넬
Molokheiya	몰로헤이야
White Cloud	화이트 클라우드
EBU	이비유
Fairmount	페어마운트
Norway	노르웨이
Brian	브라이언
country club	컨트리클럽
Akron	애크런
par-play	파플레이
Corazzini	코라치니
cool jazz	쿨재즈
Hoko	호코
stamp	스탬프
South Salt Lake	사우스솔트레이크
Lowell	로웰
organ point	오르간포인트
Pleasant Garden	플레전트 가든
Elk County	엘크 카운티
Jeremy	제러미
Landfall	랜드폴
rhythm	리듬
radian	라디안
Charleston County	찰스턴 카운티
finger painting	핑거페인팅
Andy	앤디
St. James	세인트 제임스
Italy	이털리
Paul	폴
Meibom	마이봄
Herbart	헤르바르트
Hart	하트
Aubrey	오브리
Lake Wales	레이크웨일스
iron	아이언
positron	포지트론
Garden Valley	가든밸리
Brunellesco	브루넬레스코
spirogyra	스피로지라
New Windsor	뉴 윈저
Norway	노르웨이
Harmon	하먼
Kerz	커즈
Perry	페리
Cockburn	코번
Surry	서리
Tralee	트랠리
Duxbury	덕스베리
Rich	리치
Loewy	로위
Middletown	미들타운
Fort Jones	포트존스
Duncan Mills	덩컨 밀스
Kiowa	카이오와
Taleban	탈레반
Morgan City	모건 시티
Windom	윈덤
Somerdale	소머데일
McNeil	맥네일
Bosporus	보스포루스
Dash Point	대시 포인트
benzene	벤젠
block brake	블록브레이크
Vicky	비키
Randi	랜디
Points	포인츠
Mecklenburg County	메클렌부르크 카운티
cyber trading	사이버트레이딩
open system	오픈시스템
figure skating	피겨스케이팅
Vance County	밴스 카운티
Bradenton	브레이든턴
tracing paper	트레이싱페이퍼
hyoscyamine	히오시아민
Kennedy Round	케네디라운드
College Park	컬리지 파크
Longwood	롱우드
Upland	업랜드
Demeter	데메테르
St. John the Baptist Parish	세인트 존 더 밥티스트 패리시
Guarino	과리노
no comment	노코멘트
Poway	포웨이
Damien	데이미언
Bureau	뷰로
Mackay	맥케이
Leeper	리퍼
Sun Valley	선 밸리
Chapin	채핀
Sturbridge	스터브리지
Lost Lake	로스트 레이크
Cypress	사이프러스
Comertown	코머타운
Pedro	페드로
Noonan	누넌
Jett	제트
Swan	스완
Whitewood	화이트우드
Edward Doisy	에드워드 도이지
sticker	스티커
slit skirt	슬릿 스커트
guide rope	가이드로프
bhikshu	비구
Yeutter	야이터
Conway	콘웨이
Ballard	볼라드
Newton County	뉴턴 카운티
Burnet	버넷
Bend	벤드
Davis-Monthan	데이비스몬선
magnetron	마그네트론
skin diver	스킨다이버
Cimarosa	치마로사
kilocycle	킬로사이클
Danaos	다나오스
Ten Broeck	텐 브록
Lancaster	랭커스터
McDonald	맥도널드
motor-paraglider	모터패러글라이더
Sumas	수마스
silver seal	실버실
Laurinburg	로린버그
patch program	패치프로그램
Jim	짐
Sandstone	샌드스톤
Fort Loudoun Dam	포트라우든
Galesburg	게일즈버그
climbing	클라이밍
Leominster	레민스터
J Christopher	크리스토퍼
Knudsen cell	크누센셀
Arnold	아널드
Bedford	베드퍼드
Hacoda	하코다
economy	이코노미
Cottonwood Heights	코튼우드하이츠
fixative	픽서티브
Vacanti	버칸티
Walker Lake	워커 레이크
Buffalo	버펄로
basilisk	바실리스크
Hialeah Gardens	하이얼리어 가든스
Shanghai City	상하이 시티
Ridgetop	리지톱
lac	랙
Gonzales County	곤잘레스 카운티
Meta	메타
Dixon	딕슨
Mark	마크
John Day	존 데이
Falls	폴스
Muir	뮤어
balance	밸런스
Hallie	할리
Lima	리마
Shasta Lake City	샤스타 레이크 시티
router	라우터
Mosca	모스카
Munfordville	먼퍼드빌
Lompoc	롬폭
Cashion	캐쉬언
Cennini	첸니니
Lookout Mountain	룩아웃 마운틴
McDonough	맥도너
Blue River	블루 리버
Casa Loma	카사 로마
Orange County	오렌지 카운티
Mahler	말러
Jaimini	자이미니
chronoscope	크로노스코프
Anchorage	앵커리지
New London	뉴런던
Washington County	워싱턴 카운티
bar	바
Chicoutimi	시쿠티미
Mulvane	멀베인
Jefferson County	제퍼슨 카운티
Italy	이탤리
Ottawa	오타와
Frundy	펀디
Los Angeles Rams	로스앤젤레스 램스
samadhi	삼매
running	런닝
Scooter	스쿠터
Parmer County	파머 카운티
Lovins	러빈스
Hiddenite	히데나이트
Aspinwall	아스핀월
Montessori	몬테소리
Blanco	블랑코
Manningham-Buller	매닝엄불러
Garden Prairie	가든 프레리
Henderson County	헨더슨 카운티
ethnocentrism	에스노센트리즘
Bassett	바세트
Damascus	다마스쿠스
Svensson	스벤손
Mountain	마운틴
Forestville	포레스트필
Prussia	프러시아
Rooney	루니
Babits	바비츠
Countryside	컨트리사이드
Deming	데밍
Maxeys	맥시스
Mosgiel	모스길
Queneau	크노
Paw Paw	포포
water gas	워터가스
gamma	감마
La Cour	라쿠르
cartridge	카트리지
Newcastle	뉴캐슬
Brook Park	브룩 파크
catcherboat	캐처보트
able	에이블
Bergen	베르겐
bias	바이어스
lithium	리튬
Loris	로리스
optical flat	옵티컬플랫
Lockwood	로크우드
Tainter	테인터
Bowdon	보던
Michelet	미슐레
Stewart	스튜어트
armadillo	아르마딜로
Knox County	녹스 카운티
Santa Maria	산타마리아
Old Horse Springs	올드 호스 스프링스
graphic communication	그래픽커뮤니케이션
Beatty	비티
Neo-Marxism	네오마르크시즘
ozone	오존
citral	시트랄
Union County	유니언 카운티
Alpine Lake	알파인 레이크
Lisa	리사
Pensacola Beach	펜사콜라 비치
Salisbury	솔즈베리
David Copperfield	데이비드 코퍼필드
knapsack	냅색
microphone	마이크로폰
Wendy	웬디
Edina	에디나
Ringle	링글
curriculum	커리큘럼
Bradley	브래들리
Shylock	샤일록
Aledo	얼리도
Byng	빙
Lerman	러먼
Dittersdorf	디터스도르프
Kirkpatrick	커크패트릭
Los Olivos	로스 올리보스
Grouse	그라우스
Oberlin	오벌린
Aurora	오로라
Red Cloud	레드 클라우드
chlorophyll	클로로필
Maury	모리
Edwina	에드위나
Rochester	로체스터
Monkton	몽크턴
Musselshell County	머설셸 카운티
Stromboli	스트롬볼리
line	라인
Keflezighi	케플레지기
Nicollet County	니컬렛 카운티
rescheduling	리스케줄링
Jeffersonville	제퍼슨빌
Leesville	리즈빌
Cotonou	코토누
undercut	언더컷
Holbrook	홀브룩
Siala-Mou	시알라모
Pauline	폴린
Hinsdale	힌스데일
Tara	타라
Shannon County	섀넌 카운티
Galvez	갈베즈
Edmore	에드모어
Excelsior	엑셀시어
Alcoa	앨코아
Pinehurst	파인허스트
Big Creek	빅 크리크
Catawba County	카토바 카운티
Juno Beach	주노비치
Love County	러브 카운티
band	밴드
Whiteside	화이트사이드
Chris	크리스
Georges	조르주
Ayrshire	에어셔
roller skate	롤러스케이트
Lawton	로턴
James	제임스
New York Islanders	뉴욕 아일런더스
Michael Chertoff	마이클 처토프
foot press	풋프레스
Moore	무어
Rancho Mirage	란초 미라지
Eyre	에어
Everest	에버리스트
color film	칼라필름
Big Stick	빅 스틱
Halifax	핼리팩스
Muldoon	멀둔
Vinton	빈턴
Washington	워싱턴
Hidalgo	이달고
Sepo	세포
Boston	보스턴
Naalehu	나알레후
Wichita Falls	위치토폴스
Sioux Falls	수폴스
Essex	에식스
first	퍼스트
Amherst	애머스트
Dubuque	더뷰크
noy	노이
Beadsworth	비즈워스
Houdon	우동
Cushing	쿠싱
Hadid	하디드
Beaverton	비버턴
East Atlanta	이스트애틀랜타
Jo Pavey	조 페이비
Lanier	러니어
Grays Harbor County	그레이스 하버 카운티
honky-tonk	홍키통크
Sugar Land	슈거 랜드
Twain	트웨인
Deenwood	딘우드
Assange	어산지
Dietzgen	디츠겐
Spain	스페인
Goblesville	고블즈빌
OHV	오에이치브이
Readsboro	리드스버러
Krugerville	크루거빌
Malthus	맬서스
Jupiter	주피터
fibroin	피브로인
Kansas City	캔자스시티
Sardis	사디스
marketing mix	마케팅믹스
Wilsons	윌슨즈
Scranton	스크랜턴
Mineral	미네랄
microcard	마이크로카드
West Allis	웨스트앨리스
Peoria Heights	피오리아하이츠
DO	디오
Niantic	나이앤틱
Virgil	버질
lemon juice	레몬주스
Ince	인스
McLaughlin	맥로플린
Appert	아페르
Shilling	실링
Karen Hughes	캐런 휴스
Kileville	카일빌
cotton	코튼
Benjamin	뱅자맹
netian	네띠앙
Tunisia	튜니지아
Winkle	윙클
carving	카빙
Stevinson	스티빈슨
horn	혼
pleats	플리츠
Busoni	부소니
Stacy	스테이시
Geist	가이스트
David M. Lee	데이비드 리
Altitude	앨티튜드
Pine County	파인 카운티
panorama	파노라마
neuro computer	뉴로컴퓨터
Marion County	매리언 카운티
Twentynine Palms	트웬티나인 팜스
Wyaconda	와이아콘다
Jonathan	조너선
caricature	캐리커처
Keene	킨
Ananova	아나노바
Melbourne Beach	멜번 비치
Saybrook	세이브룩
Ernst Theodor Amadeus	에른스트 테오도어 아마데우스
Backus	배커스
Laue	라우에
Thom	톰
carnegieite	카네기아이트
Maharishi Vedic City	마하리시 베딕 시티
Lena	레나
sailor pants	세일러팬츠
Robin	로빈
Rebecca	리베카
Henry	헨리
Chellsie	첼시
vector	벡터
desk	데스크
Quincy	퀸시
costume play	코스튬플레이
La Ward	라워드
Harrison County	해리슨 카운티
tetany	테타니
percent	퍼센트
blue	블루
Semang	세망
COMECON	코메콘
batch processing	배치프로세싱
slab oil	슬래브오일
Halcyon	할사이온
Sigel	시걸
Shelby County	셸비 카운티
Loretto	로레토
Stockville	스톡빌
unit system	유닛시스템
Boston marathon	보스턴마라톤
William Giauque	윌리엄 지오크
Buffalo City	버펄로시티
IE	아이이
Grangeville	그랜지빌
Crystal City	크리스털시티
Cambria	캄브리아
bank	뱅크
nitrile	니트릴
Whakatane	화카타네
Dover	도버
recruit	리크루트
Birdseye	버즈아이
Collins	콜린스
Regina	리자이나
INGO	아이엔지오
ice hockey	아이스하키
gray	그레이
Tunis	튀니즈
cable modem	케이블모뎀
Susan	수전
Mark	마크
Neuchâtel	뇌샤텔
Fulton County	풀톤 카운티
play	플레이
Tatums	테이텀스
motorcycle	모터사이클
Prophetstown	프로페츠타운
Kansas City	캔자스시티
Eland	일런드
Plesianthropus	플레시안트로푸스
Toone	툰
Catulle	카튈
Venus	비너스
Marchand	마천드
Ceres	세레스
Crivelli	크리벨리
Tintah	틴타
Greendale	그린데일
Charlie	찰리
Fairmount	페어마운트
Bristol County	브리스틀 카운티
Sidney	시드니
Nodaway County	노더웨이 카운티
Renee	러네이
Mondamin	몬다민
Laomedon	라오메돈
Dickens	디킨스
Paramount	패러마운트
Nectar	넥타
Chester	체스터
Chrisman	크리스맨
Lons-le-Saunier	롱르소니에
neckerchief	네커치프
Devol	디볼
docking	도킹
motive	모티브
Bristol Bay Borough	브리스톨 베이 버러
North Canaan	노스 케이넌
Cottrell	코트렐
APEC	에이펙
Hickman County	히크먼 카운티
dry flower	드라이플라워
neodymium	네오디뮴
ribbon	리본
Baumbach	바움백
Watson	왓슨
Andrew Bogut	앤드루 보것
Hudson	허드슨
Paula	폴라
Beeville	비빌
East Carbon	이스트카본
spam mail	스팸메일
no tie	노타이
Centrino	센트리노
Charles	찰스
Sumner	섬너
Troup	트룹
Flory	플로리
Faribault County	페리보우 카운티
Jeremy	제러미
Oldham	올덤
WCC	더블유시시
Sydney	시드니
Zbigniew	즈비그뉴
chloroethane	클로로에탄
company	컴퍼니
Pythagoras	피타고라스
Rankin	랭킨
Dodge County	도지 카운티
Thurman	서먼
Crown Point	크라운 포인트
Bandoeng	반둥
Washington Park	워싱턴 파크
Henson	헨슨
Jacqui Smith	재키 스미스
Pilbara	필바라
plumosus asparagus	플루모수스아스파라거스
Osmar	오즈마
Moberg	모베리
Polignac	폴리냐크
Kennedale	케너데일
Coldspring	콜드스프링
Desmoulins	데물랭
Delevingne	델러빈
Navarro	나바로
Melbourne	멜번
kakaoplace	카카오플레이스
Loves Park	러브스파크
FAS	에프에이에스
Michael	마이클
back	백
Mammon	맘몬
right fullback	라이트풀백
Minneapolis	미니애폴리스
Bosque County	보스크 카운티
Cabot	캐봇
Loudy	라우디
Hepburn	헵번
floor trader	플로어트레이더
short bound	쇼트바운드
acceptor	억셉터
group	그룹
Boonsville	분즈빌
Jensen	옌젠
Winona	위노나
Lunenburg County	루넨부르크 카운티
Carver	카버
art rock	아트록
Cloncurry	클론커리
Toledo	톨레도
Etna	에트나
Pawtucket	포터컷
Abbot	애벗
Lismore	리스모어
reality	리얼리티
Toco	토코
can	캔
John Steinbeck	존 스타인벡
silk	실크
Taylor County	테일러 카운티
KORNET	코네트
Cuba	쿠바
Guadalupe County	과달루페 카운티
concert	콘서트
briefing	브리핑
Ontario County	온타리오 카운티
Cottondale	코튼데일
Alabama Port	앨라배마 포트
Caney City	케이니시티
Norman	노먼
Baedeker	베데커
Ed	에드
Plummer	플러머
Hendricks	헨드릭스
Highland Lakes	하이랜드 레이크스
stroke	스트로크
Perry	페리
Delaware	델라웨어
Day	데이
homing missile	호밍미사일
Ephrata	에프라타
Poestenkill	포스턴킬
Beardsley	비어즐리
Healing Springs	힐링 스프링스
Choteau	초토
hightech	하이테크
Jakin	재킨
Maple Valley	메이플 밸리
half camera	하프카메라
Loves Park	러브스파크
Oakley	오클리
Ruth	루스
Laurier	로리에
under	언더
Pine Island	파인 아일랜드
New Hope	뉴호프
Boissevain	보이스베인
Kara Khojo	카라호조
Dillon	딜런
Mus	무스
red card	레드카드
Le Cid	르시드
Brinson	브린슨
Mason	메이슨
Beaverhead County	비버헤드 카운티
demo	데모
Eastview	이스트뷰
Allamakee County	알루무키 카운티
Meillet	메이예
Symington	사이밍턴
Folk	포크
Dickenson	디킨슨
privacy	프라이버시
chuck	척
Richardson	리처드슨
Jackson	잭슨
advantage server	어드밴티지서버
holography disc	홀로그래피디스크
Oakhurst	오크허스트
league	리그
Gonzalez	곤살레스
Walter	월터
Ewan	이완
Merry Widow	메리위도
Wiig	위그
Spring City	스프링 시티
page	페이지
recall	리콜
Savanna	사바나
Mosby	모스비
groggy	그로기
rival	라이벌
Cumberland County	컴벌랜드 카운티
Goetz	고츠
Jenkins	젠킨스
Knoxville	녹스빌
Shakespeare in Love	셰익스피어 인 러브
Scenic Oaks	시닉오크스
psychography	사이코그래피
YWCA	와이더블유시에이
Jennifer	제니퍼
Chehalis	치핼리스
Powell	파월
seminar	세미나
Wheeler	휠러
Fried	프리트
Petria	페트리아
Opelika	오펠리카
Baffin Land	배핀랜드
Palisades	팰리세이드
Loschmidt	로슈미트
Fatima	패티마
Garrison	개리슨
doctor	닥터
Doral	도랄
torch	토치
Menino	메니노
veranda	베란다
baryta	바리타
Pavlov	파블로프
