prefix	input_text	target_text
eng to kor	Appling County	애플링 카운티
kor to eng	애플링 카운티	Appling County
eng to kor	Crystal	크리스털
kor to eng	크리스털	Crystal
eng to kor	radome	레이돔
kor to eng	레이돔	radome
eng to kor	Boone County	분 카운티
kor to eng	분 카운티	Boone County
eng to kor	Caroline	캐럴라인
kor to eng	캐럴라인	Caroline
eng to kor	rotation	로테이션
kor to eng	로테이션	rotation
eng to kor	go-go	고고
kor to eng	고고	go-go
eng to kor	auto	오토
kor to eng	오토	auto
eng to kor	Sefo	세포
kor to eng	세포	Sefo
eng to kor	Platteville	플랫빌
kor to eng	플랫빌	Platteville
eng to kor	Peter	피터
kor to eng	피터	Peter
eng to kor	Rwanda	르완다
kor to eng	르완다	Rwanda
eng to kor	little league	리틀리그
kor to eng	리틀리그	little league
eng to kor	mass society	매스소사이어티
kor to eng	매스소사이어티	mass society
eng to kor	Lovely	러블리
kor to eng	러블리	Lovely
eng to kor	Kings Mountain	킹스 마운틴
kor to eng	킹스 마운틴	Kings Mountain
eng to kor	Gadsden	개즈든
kor to eng	개즈든	Gadsden
eng to kor	fly ash cement	플라이 애시 시멘트
kor to eng	플라이 애시 시멘트	fly ash cement
eng to kor	Chad	차드
kor to eng	차드	Chad
eng to kor	dinner jacket	디너재킷
kor to eng	디너재킷	dinner jacket
eng to kor	Escorial	에스코리알
kor to eng	에스코리알	Escorial
eng to kor	Park City	파크시티
kor to eng	파크시티	Park City
eng to kor	Kazan	카잔
kor to eng	카잔	Kazan
eng to kor	Mercer County	머서 카운티
kor to eng	머서 카운티	Mercer County
eng to kor	apartment house	아파트
kor to eng	아파트	apartment house
eng to kor	Carnation	카네이션
kor to eng	카네이션	Carnation
eng to kor	Whitsett	휘트세트
kor to eng	휘트세트	Whitsett
eng to kor	Novgorod	노브고로드
kor to eng	노브고로드	Novgorod
eng to kor	Corcoran	코코런
kor to eng	코코런	Corcoran
eng to kor	Massac	매색
kor to eng	매색	Massac
eng to kor	Deer	디어
kor to eng	디어	Deer
eng to kor	Channel-Port aux Basques	채널포트오바스크
kor to eng	채널포트오바스크	Channel-Port aux Basques
eng to kor	Sandford	샌포드
kor to eng	샌포드	Sandford
eng to kor	Weiss	와이스
kor to eng	와이스	Weiss
eng to kor	waterbuck	워터벅
kor to eng	워터벅	waterbuck
eng to kor	Baldwin	볼드윈
kor to eng	볼드윈	Baldwin
eng to kor	Jeff Davis	제프데이비스
kor to eng	제프데이비스	Jeff Davis
eng to kor	chart	차트
kor to eng	차트	chart
eng to kor	Butte	부테
kor to eng	부테	Butte
eng to kor	St Johns	세인트존스
kor to eng	세인트존스	St Johns
eng to kor	Fallopius	팔로피우스
kor to eng	팔로피우스	Fallopius
eng to kor	choreographer	코레오그래퍼
kor to eng	코레오그래퍼	choreographer
eng to kor	Amite County	에이미트 카운티
kor to eng	에이미트 카운티	Amite County
eng to kor	kickout	킥아웃
kor to eng	킥아웃	kickout
eng to kor	Zachary	재커리
kor to eng	재커리	Zachary
eng to kor	Goose Neck	구스 넥
kor to eng	구스 넥	Goose Neck
eng to kor	Matson	맷슨
kor to eng	맷슨	Matson
eng to kor	Gibsonville	깁슨빌
kor to eng	깁슨빌	Gibsonville
eng to kor	Aleksei Mikhailovich	알렉세이 미하일로비치
kor to eng	알렉세이 미하일로비치	Aleksei Mikhailovich
eng to kor	Jambi	잠비
kor to eng	잠비	Jambi
eng to kor	Anne-Marie	앤마리
kor to eng	앤마리	Anne-Marie
eng to kor	Canadian canoe	캐나디안카누
kor to eng	캐나디안카누	Canadian canoe
eng to kor	Bolyai	보여이
kor to eng	보여이	Bolyai
eng to kor	Nogales	노갤러스
kor to eng	노갤러스	Nogales
eng to kor	Stoppelman	스토플먼
kor to eng	스토플먼	Stoppelman
eng to kor	magnet ledger	마그넷 레저
kor to eng	마그넷 레저	magnet ledger
eng to kor	Bateman	베이트먼
kor to eng	베이트먼	Bateman
eng to kor	East Lansing	이스트 랜싱
kor to eng	이스트 랜싱	East Lansing
eng to kor	diagram	다이어그램
kor to eng	다이어그램	diagram
eng to kor	MF	엠에프
kor to eng	엠에프	MF
eng to kor	Woodhull	우드훌
kor to eng	우드훌	Woodhull
eng to kor	mucin	뮤신
kor to eng	뮤신	mucin
eng to kor	on-off switch	온 오프 스위치
kor to eng	온 오프 스위치	on-off switch
eng to kor	Talladega	탤러디가
kor to eng	탤러디가	Talladega
eng to kor	Pin Point	핀 포인트
kor to eng	핀 포인트	Pin Point
eng to kor	Westport	웨스트포트
kor to eng	웨스트포트	Westport
eng to kor	mentor	멘토
kor to eng	멘토	mentor
eng to kor	UNTDB	유엔티디비
kor to eng	유엔티디비	UNTDB
eng to kor	Meton	메톤
kor to eng	메톤	Meton
eng to kor	McDavid	맥데이비드
kor to eng	맥데이비드	McDavid
eng to kor	bar	바
kor to eng	바	bar
eng to kor	Scioto Mills	사이오토 밀스
kor to eng	사이오토 밀스	Scioto Mills
eng to kor	jet coaster	제트코스터
kor to eng	제트코스터	jet coaster
eng to kor	Tracy City	트레이시시티
kor to eng	트레이시시티	Tracy City
eng to kor	Coeur	쾨르
kor to eng	쾨르	Coeur
eng to kor	Arrington	애링턴
kor to eng	애링턴	Arrington
eng to kor	West Tisbury	웨스트 티스베리
kor to eng	웨스트 티스베리	West Tisbury
eng to kor	Arabia	아라비아
kor to eng	아라비아	Arabia
eng to kor	Jonathan	조너선
kor to eng	조너선	Jonathan
eng to kor	McHenry	매켄리
kor to eng	매켄리	McHenry
eng to kor	Sugar Grove	슈거 그로브
kor to eng	슈거 그로브	Sugar Grove
eng to kor	Eastport	이스트포트
kor to eng	이스트포트	Eastport
eng to kor	Wagner	와그너
kor to eng	와그너	Wagner
eng to kor	Clearwater	클리어워터
kor to eng	클리어워터	Clearwater
eng to kor	Northrop	노스럽
kor to eng	노스럽	Northrop
eng to kor	David	데이비드
kor to eng	데이비드	David
eng to kor	Polaris	폴라리스
kor to eng	폴라리스	Polaris
eng to kor	Naomi	나오미
kor to eng	나오미	Naomi
eng to kor	Easton	이스턴
kor to eng	이스턴	Easton
eng to kor	New Brunswick	뉴브런즈윅
kor to eng	뉴브런즈윅	New Brunswick
eng to kor	viscacha	비스카차
kor to eng	비스카차	viscacha
eng to kor	Rayburn	레이번
kor to eng	레이번	Rayburn
eng to kor	Grove	그로브
kor to eng	그로브	Grove
eng to kor	Matthew Calbraith	매슈 캘브레이스
kor to eng	매슈 캘브레이스	Matthew Calbraith
eng to kor	impact	임팩트
kor to eng	임팩트	impact
eng to kor	Spring Valley	스프링밸리
kor to eng	스프링밸리	Spring Valley
eng to kor	lanthanoid	란타노이드
kor to eng	란타노이드	lanthanoid
eng to kor	Durango	두랑고
kor to eng	두랑고	Durango
eng to kor	Seward	수어드
kor to eng	수어드	Seward
eng to kor	audio	오디오
kor to eng	오디오	audio
eng to kor	Lucien	뤼시앵
kor to eng	뤼시앵	Lucien
eng to kor	Shoals	숄스
kor to eng	숄스	Shoals
eng to kor	D'Iberville	디베르빌
kor to eng	디베르빌	D'Iberville
eng to kor	Felisa	펄리사
kor to eng	펄리사	Felisa
eng to kor	Severn	세번
kor to eng	세번	Severn
eng to kor	ICRP	아이시아르피
kor to eng	아이시아르피	ICRP
eng to kor	Whitby	휘트비
kor to eng	휘트비	Whitby
eng to kor	Woodland	우드랜드
kor to eng	우드랜드	Woodland
eng to kor	power handle	파워핸들
kor to eng	파워핸들	power handle
eng to kor	ism	이즘
kor to eng	이즘	ism
eng to kor	Carpinteria	카핀테리아
kor to eng	카핀테리아	Carpinteria
eng to kor	Mashad	마샤드
kor to eng	마샤드	Mashad
eng to kor	Connolly	코널리
kor to eng	코널리	Connolly
eng to kor	half word	하프워드
kor to eng	하프워드	half word
eng to kor	Arcata	아르카타
kor to eng	아르카타	Arcata
eng to kor	Guadalajara	과달라하라
kor to eng	과달라하라	Guadalajara
eng to kor	lignocaine	리그노카인
kor to eng	리그노카인	lignocaine
eng to kor	Nobles County	노블레스 카운티
kor to eng	노블레스 카운티	Nobles County
eng to kor	Rice Lake	라이스 레이크
kor to eng	라이스 레이크	Rice Lake
eng to kor	king-size	킹사이즈
kor to eng	킹사이즈	king-size
eng to kor	Susan	수전
kor to eng	수전	Susan
eng to kor	Istrati	이스트라티
kor to eng	이스트라티	Istrati
eng to kor	Coffee City	커피시티
kor to eng	커피시티	Coffee City
eng to kor	Kechi	케치
kor to eng	케치	Kechi
eng to kor	Gulf	걸프
kor to eng	걸프	Gulf
eng to kor	Doolittle	둘리틀
kor to eng	둘리틀	Doolittle
eng to kor	Scriba	스크리바
kor to eng	스크리바	Scriba
eng to kor	Jason	제이슨
kor to eng	제이슨	Jason
eng to kor	Booth	부스
kor to eng	부스	Booth
eng to kor	Stark	스타크
kor to eng	스타크	Stark
eng to kor	Smart	스마트
kor to eng	스마트	Smart
eng to kor	Marc	마크
kor to eng	마크	Marc
eng to kor	New Home	뉴 홈
kor to eng	뉴 홈	New Home
eng to kor	Half Moon	하프 문
kor to eng	하프 문	Half Moon
eng to kor	South Bethany	사우스 베타니
kor to eng	사우스 베타니	South Bethany
eng to kor	summer time	서머타임
kor to eng	서머타임	summer time
eng to kor	cassette VTR	카세트브이티아르
kor to eng	카세트브이티아르	cassette VTR
eng to kor	Drury	드러라
kor to eng	드러라	Drury
eng to kor	synchrotron	싱크로트론
kor to eng	싱크로트론	synchrotron
eng to kor	Jefferson County	제퍼슨 카운티
kor to eng	제퍼슨 카운티	Jefferson County
eng to kor	teclu burner	테클루버너
kor to eng	테클루버너	teclu burner
eng to kor	Tillman	틸먼
kor to eng	틸먼	Tillman
eng to kor	Monico	모니코
kor to eng	모니코	Monico
eng to kor	Gloucester	글로스터
kor to eng	글로스터	Gloucester
eng to kor	Schodack	쇼댁
kor to eng	쇼댁	Schodack
eng to kor	Polycarpos	폴리카르포스
kor to eng	폴리카르포스	Polycarpos
eng to kor	Moscow	모스코
kor to eng	모스코	Moscow
eng to kor	Re	레
kor to eng	레	Re
eng to kor	Tumon Bay	투몬만
kor to eng	투몬만	Tumon Bay
eng to kor	Longville	롱빌
kor to eng	롱빌	Longville
eng to kor	Tashi-lumpo	타시룸포
kor to eng	타시룸포	Tashi-lumpo
eng to kor	Gross	그로스
kor to eng	그로스	Gross
eng to kor	Ingram	잉그럼
kor to eng	잉그럼	Ingram
eng to kor	lead	리드
kor to eng	리드	lead
eng to kor	Kline	클라인
kor to eng	클라인	Kline
eng to kor	Enders	엔더스
kor to eng	엔더스	Enders
eng to kor	shim	심
kor to eng	심	shim
eng to kor	Bakersville	베이커스빌
kor to eng	베이커스빌	Bakersville
eng to kor	Wilkinson County	윌킨슨 카운티
kor to eng	윌킨슨 카운티	Wilkinson County
eng to kor	IIC	아이아이시
kor to eng	아이아이시	IIC
eng to kor	coconut	코코넛
kor to eng	코코넛	coconut
eng to kor	Clinton County	클린턴 카운티
kor to eng	클린턴 카운티	Clinton County
eng to kor	black bag	블랙백
kor to eng	블랙백	black bag
eng to kor	protocol	프로토콜
kor to eng	프로토콜	protocol
eng to kor	Marbury	마버리
kor to eng	마버리	Marbury
eng to kor	Michelle	미셸
kor to eng	미셸	Michelle
eng to kor	Giaan	잔
kor to eng	잔	Giaan
eng to kor	Dean	딘
kor to eng	딘	Dean
eng to kor	nihilism	니힐리즘
kor to eng	니힐리즘	nihilism
eng to kor	XPay	엑스페이
kor to eng	엑스페이	XPay
eng to kor	Kant	칸트
kor to eng	칸트	Kant
eng to kor	microfilm	마이크로필름
kor to eng	마이크로필름	microfilm
eng to kor	wool	울
kor to eng	울	wool
eng to kor	Greenwich	그리니치
kor to eng	그리니치	Greenwich
eng to kor	Burgess	버지스
kor to eng	버지스	Burgess
eng to kor	Bridge Creek	브리지크리크
kor to eng	브리지크리크	Bridge Creek
eng to kor	Emmons	에먼스
kor to eng	에먼스	Emmons
eng to kor	Nenni	넨니
kor to eng	넨니	Nenni
eng to kor	Strop	스트롭
kor to eng	스트롭	Strop
eng to kor	berkelium	버클륨
kor to eng	버클륨	berkelium
eng to kor	hiking	하이킹
kor to eng	하이킹	hiking
eng to kor	Bolair	볼레어
kor to eng	볼레어	Bolair
eng to kor	slotter	슬로터
kor to eng	슬로터	slotter
eng to kor	Valley Center	밸리 센터
kor to eng	밸리 센터	Valley Center
eng to kor	Custer	커스터
kor to eng	커스터	Custer
eng to kor	Munson	먼슨
kor to eng	먼슨	Munson
eng to kor	whistle	휘슬
kor to eng	휘슬	whistle
eng to kor	Elliot	엘리엇
kor to eng	엘리엇	Elliot
eng to kor	Gotham	고담
kor to eng	고담	Gotham
eng to kor	doctrine	독트린
kor to eng	독트린	doctrine
eng to kor	Stapleton	스테이플턴
kor to eng	스테이플턴	Stapleton
eng to kor	FX	에프엑스
kor to eng	에프엑스	FX
eng to kor	cellophane	셀로판
kor to eng	셀로판	cellophane
eng to kor	mohair	모헤어
kor to eng	모헤어	mohair
eng to kor	registry	레지스트리
kor to eng	레지스트리	registry
eng to kor	Talma	탈마
kor to eng	탈마	Talma
eng to kor	grid	그리드
kor to eng	그리드	grid
eng to kor	Frankford	프랭크퍼드
kor to eng	프랭크퍼드	Frankford
eng to kor	Hutchinson	허친슨
kor to eng	허친슨	Hutchinson
eng to kor	Oita	오이타
kor to eng	오이타	Oita
eng to kor	steam trap	스팀트랩
kor to eng	스팀트랩	steam trap
eng to kor	Meyer	메이어
kor to eng	메이어	Meyer
eng to kor	festival	페스티벌
kor to eng	페스티벌	festival
eng to kor	Hastings	헤이스팅스
kor to eng	헤이스팅스	Hastings
eng to kor	topic	토픽
kor to eng	토픽	topic
eng to kor	bluetooth	블루투스
kor to eng	블루투스	bluetooth
eng to kor	Barrow	배로우
kor to eng	배로우	Barrow
eng to kor	KAIST	카이스트
kor to eng	카이스트	KAIST
eng to kor	Clay County	클레이 카운티
kor to eng	클레이 카운티	Clay County
eng to kor	Manti	맨티
kor to eng	맨티	Manti
eng to kor	Momence	모멘스
kor to eng	모멘스	Momence
eng to kor	Santa Fe	샌타페이
kor to eng	샌타페이	Santa Fe
eng to kor	Ljubljana	류블리아나
kor to eng	류블리아나	Ljubljana
eng to kor	Perth	퍼스
kor to eng	퍼스	Perth
eng to kor	stand wrestling	스탠드레슬링
kor to eng	스탠드레슬링	stand wrestling
eng to kor	Glade Spring	글레이드스프링
kor to eng	글레이드스프링	Glade Spring
eng to kor	Chambers	체임버스
kor to eng	체임버스	Chambers
eng to kor	Olden	올든
kor to eng	올든	Olden
eng to kor	Leonidas	레오니다스
kor to eng	레오니다스	Leonidas
eng to kor	Webb	웨브
kor to eng	웨브	Webb
eng to kor	Lermontov	레르몬토프
kor to eng	레르몬토프	Lermontov
eng to kor	Long Branch	롱브랜치
kor to eng	롱브랜치	Long Branch
eng to kor	chorus	코러스
kor to eng	코러스	chorus
eng to kor	Park Ridge	파크 리지
kor to eng	파크 리지	Park Ridge
eng to kor	David	데이비드
kor to eng	데이비드	David
eng to kor	Burke	버크
kor to eng	버크	Burke
eng to kor	Mujica Lainez	무히카라이네스
kor to eng	무히카라이네스	Mujica Lainez
eng to kor	Brant	브란트
kor to eng	브란트	Brant
eng to kor	air cushion	에어쿠션
kor to eng	에어쿠션	air cushion
eng to kor	Haast	하스트
kor to eng	하스트	Haast
eng to kor	Tommaso	톰마소
kor to eng	톰마소	Tommaso
eng to kor	polio vaccine	폴리오백신
kor to eng	폴리오백신	polio vaccine
eng to kor	TMT system	티엠티 시스템
kor to eng	티엠티 시스템	TMT system
eng to kor	SEALS	실스
kor to eng	실스	SEALS
eng to kor	Vera	베라
kor to eng	베라	Vera
eng to kor	ectogony	엑토고니
kor to eng	엑토고니	ectogony
eng to kor	cameraman	카메라맨
kor to eng	카메라맨	cameraman
eng to kor	Lucas County	루카스 카운티
kor to eng	루카스 카운티	Lucas County
eng to kor	business hotel	비즈니스호텔
kor to eng	비즈니스호텔	business hotel
eng to kor	carbonite	카보나이트
kor to eng	카보나이트	carbonite
eng to kor	Davidson	데이비드슨
kor to eng	데이비드슨	Davidson
eng to kor	carnival	카니발
kor to eng	카니발	carnival
eng to kor	uranium	우라늄
kor to eng	우라늄	uranium
eng to kor	Union Cross	유니언 크로스
kor to eng	유니언 크로스	Union Cross
eng to kor	Scotch tape	스카치테이프
kor to eng	스카치테이프	Scotch tape
eng to kor	Glendale	글렌데일
kor to eng	글렌데일	Glendale
eng to kor	oxytetracycline	옥시테트라사이클린
kor to eng	옥시테트라사이클린	oxytetracycline
eng to kor	Honorius	호노리우스
kor to eng	호노리우스	Honorius
eng to kor	Remer	리머
kor to eng	리머	Remer
eng to kor	Riga	리가
kor to eng	리가	Riga
eng to kor	Notre Dame	노트르담
kor to eng	노트르담	Notre Dame
eng to kor	Leesville	리스빌
kor to eng	리스빌	Leesville
eng to kor	diving	다이빙
kor to eng	다이빙	diving
eng to kor	Sardou	사르두
kor to eng	사르두	Sardou
eng to kor	Latona	래토나
kor to eng	래토나	Latona
eng to kor	Emerald Isle	에메랄드 아일
kor to eng	에메랄드 아일	Emerald Isle
eng to kor	Jodie	조디
kor to eng	조디	Jodie
eng to kor	Benelux	베네룩스
kor to eng	베네룩스	Benelux
eng to kor	La Villa	라 빌라
kor to eng	라 빌라	La Villa
eng to kor	Santa Anna	산타안나
kor to eng	산타안나	Santa Anna
eng to kor	Bowie	보이
kor to eng	보이	Bowie
eng to kor	on-line system	온라인 시스템
kor to eng	온라인 시스템	on-line system
eng to kor	Reardan	리어든
kor to eng	리어든	Reardan
eng to kor	hickory	히커리
kor to eng	히커리	hickory
eng to kor	kid	키드
kor to eng	키드	kid
eng to kor	adenine	아데닌
kor to eng	아데닌	adenine
eng to kor	Warren	워런
kor to eng	워런	Warren
eng to kor	Gila monster	힐러몬스터
kor to eng	힐러몬스터	Gila monster
eng to kor	Belle Haven	벨 헤이븐
kor to eng	벨 헤이븐	Belle Haven
eng to kor	Burbank	버뱅크
kor to eng	버뱅크	Burbank
eng to kor	Pynchon	핀천
kor to eng	핀천	Pynchon
eng to kor	Red Alert	레드얼럿
kor to eng	레드얼럿	Red Alert
eng to kor	Riomar	라이오마
kor to eng	라이오마	Riomar
eng to kor	Carpenter	카펜터
kor to eng	카펜터	Carpenter
eng to kor	DALE	데일
kor to eng	데일	DALE
eng to kor	Sandy Berger	샌디 버거
kor to eng	샌디 버거	Sandy Berger
eng to kor	Illinois City	일리노이 시티
kor to eng	일리노이 시티	Illinois City
eng to kor	Lomax	로맥스
kor to eng	로맥스	Lomax
eng to kor	Spokane	스포캔
kor to eng	스포캔	Spokane
eng to kor	Colombia	콜롬비아
kor to eng	콜롬비아	Colombia
eng to kor	Dallas County	댈러스 카운티
kor to eng	댈러스 카운티	Dallas County
eng to kor	Strongsville	스트롱즈빌
kor to eng	스트롱즈빌	Strongsville
eng to kor	Belle Prairie City	벨프레리시티
kor to eng	벨프레리시티	Belle Prairie City
eng to kor	metaxenia	메타크세니아
kor to eng	메타크세니아	metaxenia
eng to kor	Wilkes	윌크스
kor to eng	윌크스	Wilkes
eng to kor	rock garden	록가든
kor to eng	록가든	rock garden
eng to kor	Merritt	메릿
kor to eng	메릿	Merritt
eng to kor	hot money	핫머니
kor to eng	핫머니	hot money
eng to kor	Louisa County	루이자 카운티
kor to eng	루이자 카운티	Louisa County
eng to kor	Fountain Valley	파운턴 밸리
kor to eng	파운턴 밸리	Fountain Valley
eng to kor	flying mare	플라잉메어
kor to eng	플라잉메어	flying mare
eng to kor	Harry Aikines-Aryeety	해리 아이킨스아리티
kor to eng	해리 아이킨스아리티	Harry Aikines-Aryeety
eng to kor	Helmer	헬머
kor to eng	헬머	Helmer
eng to kor	dead copy	데드카피
kor to eng	데드카피	dead copy
eng to kor	Monroe County	먼로 카운티
kor to eng	먼로 카운티	Monroe County
eng to kor	Burton	버턴
kor to eng	버턴	Burton
eng to kor	fascism	파시즘
kor to eng	파시즘	fascism
eng to kor	megadeath	메가데스
kor to eng	메가데스	megadeath
eng to kor	Altdorfer	알트도르퍼
kor to eng	알트도르퍼	Altdorfer
eng to kor	SAM	샘
kor to eng	샘	SAM
eng to kor	Tahoe	타호
kor to eng	타호	Tahoe
eng to kor	North Reading	노스레딩
kor to eng	노스레딩	North Reading
eng to kor	Ledyard	레디어드
kor to eng	레디어드	Ledyard
eng to kor	Four Mile	포 마일
kor to eng	포 마일	Four Mile
eng to kor	PGM	피지엠
kor to eng	피지엠	PGM
eng to kor	color scanner	컬러스캐너
kor to eng	컬러스캐너	color scanner
eng to kor	Rhineland	라인랜드
kor to eng	라인랜드	Rhineland
eng to kor	hose	호스
kor to eng	호스	hose
eng to kor	Mariba	마리바
kor to eng	마리바	Mariba
eng to kor	Hamilton	해밀턴
kor to eng	해밀턴	Hamilton
eng to kor	Mont Belvieu	몬트 벨뷰
kor to eng	몬트 벨뷰	Mont Belvieu
eng to kor	core	코어
kor to eng	코어	core
eng to kor	Lyon County	라이언 카운티
kor to eng	라이언 카운티	Lyon County
eng to kor	Jackson	잭슨
kor to eng	잭슨	Jackson
eng to kor	Arizona	애리조나
kor to eng	애리조나	Arizona
eng to kor	Zannini	재니니
kor to eng	재니니	Zannini
eng to kor	sometime	섬타임
kor to eng	섬타임	sometime
eng to kor	Holy Cross	홀리 크로스
kor to eng	홀리 크로스	Holy Cross
eng to kor	cosec	코세크
kor to eng	코세크	cosec
eng to kor	lock	로크
kor to eng	로크	lock
eng to kor	Whigham	위검
kor to eng	위검	Whigham
eng to kor	Jerome	제롬
kor to eng	제롬	Jerome
eng to kor	Mandingo	만딩고
kor to eng	만딩고	Mandingo
eng to kor	Cary	케리
kor to eng	케리	Cary
eng to kor	Lofting	로프팅
kor to eng	로프팅	Lofting
eng to kor	Flat Top	플랫 톱
kor to eng	플랫 톱	Flat Top
eng to kor	Callipolis	칼리폴리스
kor to eng	칼리폴리스	Callipolis
eng to kor	Cashmere	캐시미어
kor to eng	캐시미어	Cashmere
eng to kor	real	리얼
kor to eng	리얼	real
eng to kor	Alban	알반
kor to eng	알반	Alban
eng to kor	Mexico	멕시코
kor to eng	멕시코	Mexico
eng to kor	Spearman	스피어먼
kor to eng	스피어먼	Spearman
eng to kor	glutethimide	글루테티미드
kor to eng	글루테티미드	glutethimide
eng to kor	Micaela	미케일라
kor to eng	미케일라	Micaela
eng to kor	Shaftsbury	새프츠베리
kor to eng	새프츠베리	Shaftsbury
eng to kor	long baggy pants	롱배기팬츠
kor to eng	롱배기팬츠	long baggy pants
eng to kor	Healy	힐리
kor to eng	힐리	Healy
eng to kor	Audrain County	오드레인 카운티
kor to eng	오드레인 카운티	Audrain County
eng to kor	erythrophylla begonia	에리트로필라베고니아
kor to eng	에리트로필라베고니아	erythrophylla begonia
eng to kor	Campbellsville	캠벨스빌
kor to eng	캠벨스빌	Campbellsville
eng to kor	Mt. St. Joseph	마운트 세인트 조세프
kor to eng	마운트 세인트 조세프	Mt. St. Joseph
eng to kor	St. Johnsbury	세인트 존스베리
kor to eng	세인트 존스베리	St. Johnsbury
eng to kor	Central African Republic	중앙아프리카 공화국
kor to eng	중앙아프리카 공화국	Central African Republic
eng to kor	Carlisle	칼라일
kor to eng	칼라일	Carlisle
eng to kor	Scott County	스콧 카운티
kor to eng	스콧 카운티	Scott County
eng to kor	Murdoch	머독
kor to eng	머독	Murdoch
eng to kor	Greentown	그린타운
kor to eng	그린타운	Greentown
eng to kor	Audubon	오듀본
kor to eng	오듀본	Audubon
eng to kor	Preemption	프리엠프션
kor to eng	프리엠프션	Preemption
eng to kor	Nitta Yuma	니타 유마
kor to eng	니타 유마	Nitta Yuma
eng to kor	Sullivan County	설리번 카운티
kor to eng	설리번 카운티	Sullivan County
eng to kor	Hehner	헤너
kor to eng	헤너	Hehner
eng to kor	methyl orange	메틸오렌지
kor to eng	메틸오렌지	methyl orange
eng to kor	Lockes Landing	로커스 랜딩
kor to eng	로커스 랜딩	Lockes Landing
eng to kor	Brookline	브루클라인
kor to eng	브루클라인	Brookline
eng to kor	Michael	마이클
kor to eng	마이클	Michael
eng to kor	remote job entry	리모트 잡 엔트리
kor to eng	리모트 잡 엔트리	remote job entry
eng to kor	Richland	리칠랜드
kor to eng	리칠랜드	Richland
eng to kor	Saint-Simon	생시몽
kor to eng	생시몽	Saint-Simon
eng to kor	RAM-disk	램디스크
kor to eng	램디스크	RAM-disk
eng to kor	Eritrea	에리트레아
kor to eng	에리트레아	Eritrea
eng to kor	Copper Canyon	코퍼 캐니언
kor to eng	코퍼 캐니언	Copper Canyon
eng to kor	Schuylkill County	스퀼킬 카운티
kor to eng	스퀼킬 카운티	Schuylkill County
eng to kor	internet hub site	인터넷허브사이트
kor to eng	인터넷허브사이트	internet hub site
eng to kor	Owenton	오언턴
kor to eng	오언턴	Owenton
eng to kor	Benndale	벤데일
kor to eng	벤데일	Benndale
eng to kor	Holbrook	홀브룩
kor to eng	홀브룩	Holbrook
eng to kor	option	옵션
kor to eng	옵션	option
eng to kor	Stuart	스튜어트
kor to eng	스튜어트	Stuart
eng to kor	Red Willow	레드윌로
kor to eng	레드윌로	Red Willow
eng to kor	Leadington	리딩턴
kor to eng	리딩턴	Leadington
eng to kor	Bradley	브래들리
kor to eng	브래들리	Bradley
eng to kor	Autauga County	오토가 카운티
kor to eng	오토가 카운티	Autauga County
eng to kor	bolt	볼트
kor to eng	볼트	bolt
eng to kor	Guayaquil	과야낄
kor to eng	과야낄	Guayaquil
eng to kor	Jinn	진
kor to eng	진	Jinn
eng to kor	Uintah Washington Terrace	유인타워싱턴테라스
kor to eng	유인타워싱턴테라스	Uintah Washington Terrace
eng to kor	DAMN	담
kor to eng	담	DAMN
eng to kor	DEW line	듀라인
kor to eng	듀라인	DEW line
eng to kor	Takaka	타카카
kor to eng	타카카	Takaka
eng to kor	Petersburg	피터즈버그
kor to eng	피터즈버그	Petersburg
eng to kor	Montgomery County	몽고메리 카운티
kor to eng	몽고메리 카운티	Montgomery County
eng to kor	Chino Hills	치노힐스
kor to eng	치노힐스	Chino Hills
eng to kor	Fredericksburg	프레더릭스버그
kor to eng	프레더릭스버그	Fredericksburg
eng to kor	biscuit	비스킷
kor to eng	비스킷	biscuit
eng to kor	Hardesty	하디스티
kor to eng	하디스티	Hardesty
eng to kor	Cuccinelli	쿠치넬리
kor to eng	쿠치넬리	Cuccinelli
eng to kor	Safety Harbor	세이프티하버
kor to eng	세이프티하버	Safety Harbor
eng to kor	menu	메뉴
kor to eng	메뉴	menu
eng to kor	Utica	유티카
kor to eng	유티카	Utica
eng to kor	night game	나이트게임
kor to eng	나이트게임	night game
eng to kor	Ogema	오지마
kor to eng	오지마	Ogema
eng to kor	Diana	다이애나
kor to eng	다이애나	Diana
eng to kor	Greenfield	그린필드
kor to eng	그린필드	Greenfield
eng to kor	Burbank	버뱅크
kor to eng	버뱅크	Burbank
eng to kor	Spalding	스팔딩
kor to eng	스팔딩	Spalding
eng to kor	Languedoc	랑그도크
kor to eng	랑그도크	Languedoc
eng to kor	agency	에이전시
kor to eng	에이전시	agency
eng to kor	Hastings	헤이스팅스
kor to eng	헤이스팅스	Hastings
eng to kor	Dozier	도지어
kor to eng	도지어	Dozier
eng to kor	project engineering	프로젝트엔지니어링
kor to eng	프로젝트엔지니어링	project engineering
eng to kor	Avondale	아본데일
kor to eng	아본데일	Avondale
eng to kor	Susan	수전
kor to eng	수전	Susan
eng to kor	pyrometer	파이로미터
kor to eng	파이로미터	pyrometer
eng to kor	biennale	비엔날레
kor to eng	비엔날레	biennale
eng to kor	call	콜
kor to eng	콜	call
eng to kor	boronia	보로니아
kor to eng	보로니아	boronia
eng to kor	Bakersfield	베이커즈필드
kor to eng	베이커즈필드	Bakersfield
eng to kor	Roosevelt County	루즈벨트 카운티
kor to eng	루즈벨트 카운티	Roosevelt County
eng to kor	Surry	서리
